40k,20k,15k,9.99k,7.5k,4.99k,2.5k,1.0k,0.0k
0.004315,0.003218,0.00273,0.00227,0.002021,0.001781,0.001299,0.0009318,0.000627
0.004319,0.003168,0.002759,0.002272,0.001994,0.001776,0.001246,0.000927,0.0006269
0.004299,0.003138,0.002712,0.002264,0.001972,0.001746,0.001243,0.0009467,0.0006172
0.004424,0.003201,0.002749,0.002202,0.002,0.001729,0.001265,0.0009412,0.0006229
0.004292,0.003161,0.002731,0.002289,0.002032,0.001765,0.00126,0.0009441,0.0006282
0.004286,0.003098,0.002715,0.002254,0.001981,0.001732,0.0012453,0.0009295,0.0006216
